title,company,location,education,experience,contract_type,skills,date_posted,description,url,scrape_date,job_hash
Bank Operations Manager - Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are seeking a meticulous and experienced  Banking Operations Manager  to oversee and optimize our banking operations, ensuring efficiency, compliance, and seamless service delivery. The ideal candidate will have a strong background in banking operations, process improvement, and team leadership within the financial services sector.    This role is critical in maintaining operational excellence, reducing risks, and enhancing customer satisfaction through streamlined processes and effective team management.   Key Responsibilities:    Operational Management     Oversee daily banking operations, including transactions, account management, and customer service.      Ensure compliance with internal policies,... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/bank-operations-manager-accra-199658,2025-05-02,29c039a064849449c8e5a532f855d362
Anti-Money Laundering (AML) Reporting Officer – Microfinance - Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are looking for an  Anti-Money Laundering (AML) Reporting Officer – Microfinance.   The Anti-Money Laundering (AML) Reporting Officer will be responsible for ensuring that the microfinance institution adheres to the regulatory requirements set by the Bank of Ghana, the Financial Intelligence Centre (FIC), and other relevant authorities regarding anti-money laundering (AML) and counter-financing of terrorism (CFT) practices. This role involves monitoring, identifying, and reporting suspicious activities, and ensuring the implementation of a robust AML framework to mitigate risks associated with money laundering and financial crimes.   Key Responsibilities:    AML Monitoring and Reporting:     Monitor all... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/anti-money-laundering-aml-reporting-officer-microfinance-accra-199668,2025-05-02,957c4e175cccd2bf987e4c7eac5885cc
Consultant  - Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,N/A,https://www.ghanajob.com/job-vacancies-ghana/consultant-accra-200097,2025-05-02,8aeaa720f60e4cb510e03287fa4bc134
Country Manager - Accra Ghana,N/A,"Global Education System Inc. is a leading education consultancy firm dedicated to assisting students in finding the best study opportunities worldwide. We work closely with universities, colleges, and other educational institutions to facilitate international students' recruitment and admission process. We are committed to providing personalised support and guidance to our clients, ensuring they make informed decisions about their academic and career paths. We seek an experienced and highly motivated  Country Manager  in our Accra, Ghana branch. Who will be crucial in maintaining a smooth and efficient office environment? The successful candidate will demonstrate strong organisational and communication skills and the ability... 
+plus",N/A,N/A,N/A,N/A,30.04.2025,N/A,https://www.ghanajob.com/job-vacancies-ghana/country-manager-accra-ghana-200506,2025-05-02,bd72f0f67d09047c7f203f2f05fc8b71
Social Media Manager - Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are looking for a proactive, bilingual (English & French) professional with a strong background in social media management and excellent communication skills. The ideal candidate is creative, detail-oriented, and passionate about community engagement. They should be comfortable multitasking, solving problems independently, and providing frontline support to both drivers and customers.  The right candidate is a team player who thrives in a fast-paced environment and can bridge the gap between digital marketing and operational support. Prior experience in the transport, tech, or customer service industry will be an added advantage.   Responsibilities:      Content Creation and Scheduling:  Design, create, and schedule... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/social-media-manager-accra-200707,2025-05-02,235f6f77de3950dc1313b328c911b364
Regional Ecosystems Manager - International,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,N/A,https://www.ghanajob.com/job-vacancies-ghana/regional-ecosystems-manager-international-201023,2025-05-02,54c91b3a67963a91b2d5edd6952b000b
Sales Executive - Suncity Global Tema Community 24,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are looking for a  Sales Executive.    Responsibilities :   A Sales & Marketing Officer typically:    Promotes the company’s products/services to customers.    Creates and implements marketing campaigns.    Conducts market research to identify trends and customer needs.    Maintains relationships with clients and builds new ones.    Meets or exceeds sales targets and KPIs.    Prepares reports and presentations for management       Boosts Business Growth  – Brings in new clients and expands market reach.     Brand Visibility  – Promotes the company and builds brand awareness.     Customer Insights  – Provides valuable feedback from clients for better service delivery.     Revenue Generation... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/sales-executive-suncity-global-tema-community-24-201056,2025-05-02,3a8e52ad3b6238b8ff286db392f15f32
Operations Manager - Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,N/A,https://www.ghanajob.com/job-vacancies-ghana/operations-manager-accra-194570,2025-05-02,924f8c3e49312ae85f050f4905c919b5
Finance Assistant  - Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are looking for  Finance Assistant.  The Finance Assistant supports the Finance Manager in overseeing financial operations, ensuring accurate record-keeping, preparing financial reports, and assisting in budget management. This role requires strong analytical skills, attention to detail, and knowledge of accounting principles.   Key Responsibilities      Financial Record-Keeping &amp; Reporting    Assist in maintaining accurate financial records and reports.  Support in preparing monthly, quarterly, and annual financial statements.  Ensure compliance with financial regulations and company policies.    Budgeting &amp; Forecasting    Assist in preparing and monitoring budgets.  Help analyze financial trends... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/finance-assistant-accra-194651,2025-05-02,8a4928a42b3256ff7c9de1f9b4a3316a
Programs Manager - International,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are seeking an enthusiastic and organized  Programs Manager  to support the development and execution of a variety of programs at Crowdpen. This entry to mid-level role is perfect for someone passionate about digital creation and eager to gain experience in program management and writer support.   Key Responsibilities:     Program Development & Implementation:    Assist in the design, planning, and execution of a range of programs, including workshops, challenges, webinars, and mentorship opportunities.    Develop and maintain program schedules, timelines, and budgets.    Collaborate with cross-functional teams (e.g., marketing, product, community) to ensure program alignment with overall brand goals.      Participant... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/programs-manager-international-194718,2025-05-02,a5037e1d942e2a8c65a9de27aef4ead4
Marketing Manager - Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,N/A,https://www.ghanajob.com/job-vacancies-ghana/marketing-manager-accra-194793,2025-05-02,5a4d92c43b8978d3273539ce11b18987
Senior Project Manager - Remote,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,N/A,https://www.ghanajob.com/job-vacancies-ghana/senior-project-manager-remote-194796,2025-05-02,ac526a9a397b865e611eb372c1ed5e43
Business Development Manager - Remote,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,N/A,https://www.ghanajob.com/job-vacancies-ghana/business-development-manager-remote-194798,2025-05-02,994e547a25d7db52cb6c666b18c6c287
Finance Assistant - Vienna,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are looking for a  Finance Assistant.   The Finance Assistant supports the Finance Manager in overseeing financial operations, ensuring accurate record-keeping, preparing financial reports, and assisting in budget management. This role requires strong analytical skills, attention to detail, and knowledge of accounting principles.   Responsibilities :    Financial Record-Keeping and Reporting    Assist in maintaining accurate financial records and reports.  Support in preparing monthly, quarterly, and annual financial statements.  Ensure compliance with financial regulations and company policies.    Budgeting and Forecasting    Assist in preparing and monitoring budgets.  Help analyze financial trends and variances.... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/finance-assistant-vienna-194827,2025-05-02,a3c4087a9688aba7d3c99dbb006f1a14
Sales and Marketing Executive - Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are looking for a  Sales and Marketing Executive.    Responsibilities :    Solicit group business for Coconut Grove hotels  Identify potential clients, follow up on leads and close deals  Maximize profits of the hotels through creative & Selective selling to ensure financial targets are attained  Monitor sales performance, track revenue trends, and adjust strategies accordingly.  Ensure that our accounts receivables are reduced to a maximum of 10% of revenue generated for the month by close of the month  Co-ordinating with other departments to ensure client’s needs are met  Ensure all guest concerns and recommendations are forwarded to management  Analyze market trends and competitors to adjust pricing,... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/sales-marketing-executive-accra-194866,2025-05-02,a17252fef5b7a1b0b78cec3bc7f24280
Software Developer and Instructor - Remote In US,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are seeking a highly skilled  Software Developer  who can not only build but also teach how to develop various software applications. The ideal candidate should have hands-on experience in full-stack development, machine learning, and cloud deployment. This role is perfect for someone passionate about coding, mentorship, and cutting-edge technology.   Responsibilities:     Design, develop, and deploy a facial recognition system with real-time identification capabilities.    Build various web, mobile, and AI-based applications, including:    Personal finance tracking systems    E-commerce platforms    Health monitoring apps    Predictive analytics models    Real-time chat applications    Online learning platforms    IoT-based... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/software-developer-instructor-remote-us-194890,2025-05-02,d71c06b9eaa9e196bbf4494517eb0537
Frondesk Receptionist and Administrative Officer - Accra Ghana,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,N/A,https://www.ghanajob.com/job-vacancies-ghana/frondesk-receptionist-administrative-officer-accra-ghana-195157,2025-05-02,73016bb1fe94e576255b42d7255a58d3
IT Consultant - Accra-Airport,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are seeking an exceptional  IT Consultant  with deep expertise in Microsoft's productivity and collaboration ecosystem. The successful candidate will join our team of specialists who deliver high-quality training, implementation support, and strategic guidance to our clients. This role requires not only technical proficiency across the Microsoft suite but also the ability to communicate complex concepts clearly and adapt to diverse client environments.     Key Responsibilities    Design and deliver comprehensive training programs for Microsoft applications including Word, Excel, PowerPoint, Outlook, Teams, OneDrive, OneNote, Loop, Planner, and Power BI  Assess client needs and develop customized solutions leveraging... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/it-consultant-accra-airport-195205,2025-05-02,8c062cc95b55b69c57517b6c3f32ad68
Sales and Relationship Officer - Ghana - Fully Remote,TCL RECRUITMENT,N/A,N/A,N/A,N/A,N/A,30.04.2025,N/A,https://www.ghanajob.com/job-vacancies-ghana/relationship-officer-ghana-fully-remote-195227,2025-05-02,adf0d4efabdeac15426943ba67beea09
Technical Sales Executive - Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are seeking to employ a  Technical Sales Executive  who will be responsible for overseeing the sale of products from beginning to end. This individual is the direct point of contact with a customer, and in charge of ensuring a customer's needs and expectations are met. The Technical Sales Executive should know their product and service offer inside and out and guide their customers through the purchase process efficiently and satisfactorily. He/She is required to meet and exceed the company’s set sales target on monthly, quarterly and yearly basis.   Responsibilities & Duties     Close sales and meet or exceed daily, weekly, and monthly sales targets.    Provide technical support to customers during the pre... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/technical-sales-executive-accra-195247,2025-05-02,7b005d4a72f055ed3cc5fac7cea614a1
Online Sales and Stock Manager - Madina,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,N/A,https://www.ghanajob.com/job-vacancies-ghana/online-sales-stock-manager-madina-195260,2025-05-02,0f451342e3706d215f3d82fe07ea1cbc
Social Media Manager - Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are looking for a  Social Media Manager    Responsibilities:    Create fliers, graphic design, administrative support, and social media management, helping with a podcast, assisting in wellness training, and writing memos. Should know how to use Canva. Having a background in healthcare is a plus but not a requirement.  Candidate will work towards completion of tasks listed above to ensure high quality production. If you have a portfolio please submit a copy upon request so that your previous work can be reviewed.   USD $5 per hour 
+plus",https://www.ghanajob.com/job-vacancies-ghana/social-media-manager-accra-195274,2025-05-02,de98c8cc9d335729a6312197fbaf3222
Sales and Customer Experience Officer - Ghana - Fully Remote,TCL RECRUITMENT,N/A,N/A,N/A,N/A,N/A,30.04.2025,N/A,https://www.ghanajob.com/job-vacancies-ghana/sales-customer-experience-officer-ghana-fully-remote-195284,2025-05-02,18a040ecbd7cc04dd75f4f91ded29a69
Social Media Manager - Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are looking for a  Social Media Manager.    Responsibilities:    Create fliers, graphic design, administrative support, and social media management, helping with a podcast, assisting in wellness training, and writing memos.  Should know how to use Canva. Having a background in healthcare is a plus but not a requirement.   Candidate will work towards completion of tasks listed above to ensure high quality production. If you have a portfolio please submit a copy upon request so that your previous work can be reviewed.  USD $5 per hour. 
+plus",https://www.ghanajob.com/job-vacancies-ghana/social-media-manager-accra-195612,2025-05-02,476df5cf972bcdd110ac34c718da2a8a
Human Resource Manager - Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are recruiting an experienced  Human Resource Manager  on behalf of a leading Manufacturing company. The ideal candidate will be responsible for overseeing all HR functions, including recruitment, employee relations, compliance, and workforce planning, ensuring alignment with industry best practices and labour laws.    Are you a strategic HR professional with experience in the  construction industry ? Do you thrive in a fast-paced environment, managing workforce operations, policies, and talent acquisition? If so, we’d love to have you on board!     Key Responsibilities      Develop and implement HR policies, procedures, and strategies to support business objectives    Lead the... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/human-resource-manager-accra-195620,2025-05-02,9e36c8426645096f0408668b9711f713
General / Operations Manager - Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are recruiting on behalf of our client for a highly experienced  General / Operations Manager  in the Freight and Logistics sector. As a key member of the senior leadership team, the General/Operations Manager will be responsible for ensuring that all operations are streamlined, cost-effective, and aligned with the company's strategic goals. The ideal candidate will focus on maximising operational efficiency, improving processes, and maintaining high standards across all projects and departments. candidate will play a critical role in expanding the business, ensuring compliance with both local and international freight operations standards, and implementing best practices that enhance productivity and profitability.... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/general-operations-manager-accra-195621,2025-05-02,52bd30c036fe60ce503d6395fa67311b
Human Resource Manager - Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,N/A,https://www.ghanajob.com/job-vacancies-ghana/human-resource-manager-accra-195625,2025-05-02,0180136a991df5f57f780fe31cb79568
Human Resources Audit Consultant – Manufacturing Industry  - Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are seeking a  Human Resources Audit Consultant  to conduct a comprehensive  HR audit  for a  leading manufacturing company . This role involves assessing workforce efficiency, optimising shift structures, and ensuring compliance with labor laws and best HR practices.    The ideal candidate has extensive experience in HR operations, workforce planning, performance management, and compliance within industrial or manufacturing settings. If you excel in evaluating staffing structures, streamlining workforce productivity, and implementing HR policies that drive operational efficiency, we’d love to hear from you!     Key Responsibilities:    Workforce Analysis: Conduct in-depth evaluations of... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/human-resources-audit-consultant-manufacturing-industry-accra-195630,2025-05-02,a4998bc125b38044401d10bf7fe4ffd4
